FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;1999-12-05;1998-04-27;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2014-07-31;2011-12-05;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2011-12-04;2007-12-03;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Président(e);Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Johann Jakob;Baader;m;BL;CN;Centre;Membre;Libéral;1869-12-06;1866-12-04;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2014-07-31;2011-12-05;
FAUX;Caspar;Baader;m;BL;CN;Groupe de l'Union démocratique du Centre;Membre;Union Démocratique du Centre;2003-11-30;1999-12-06;
FAUX;Jean;Babel;m;GE;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1967-12-03;1966-06-06;
FAUX;Alma;Bacciarini;f;TI;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;1983-11-27;1979-11-26;
FAUX;Johannes;Bach;m;BE;CN;Gauche;Membre;Parti radical-démocratique suisse;1857-12-07;1851-12-02;
FAUX;David E.;Bachelard;m;VD;CN;Gauche;Membre;Parti radical-démocratique suisse;1866-06-19;1866-05-02;
FAUX;Jakob H.;Bachmann;m;TG;CN;Groupe libéral démocrate;Président(e);Parti radical-démocratique suisse;1895-12-02;1881-12-06;
FAUX;Karl;Bachmann;m;SZ;CN;Groupe conservateur-catholique sociale;Membre;Parti conservateur chrétien-social;1971-11-28;1959-12-07;
FAUX;Jakob H.;Bachmann;m;TG;CN;Groupe libéral démocrate;Membre;Parti radical-démocratique suisse;1895-12-02;1881-12-06;
FAUX;Ernst;Bachmann;m;AG;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1971-11-28;1961-12-12;
FAUX;Gottlieb;Bachmann;m;ZH;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1943-12-05;1939-12-04;
FAUX;Ernst;Bachmann;m;AG;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1961-12-01;1955-12-05;
FAUX;Arthur;Bachmann;m;ZH;CN;Groupe socialiste;Membre;Parti socialiste suisse;1967-06-01;1963-12-02;
